locality,n_specimens,n_genera,province,lat_median,lon_median,elev_median
"Parc National Befotaka-Midongy, Papango 27.7km S Midongy-Sud, Mount Papango",19,5,Fianarantsoa,-23.83517,46.96367,940
"Parc National de Marojejy, 25.4 km 30° NNE Andapa, 10.9 km 311° NW Manantenina",19,5,Antsiranana,-14.445,49.735,2000
"southern Isoky-Vohimena Forest, 59 km NE Sakaraha",19,5,Toliara,-22.46667,44.85,730
"Réserve Spéciale d'Ambohijanahary, Forêt d'Ankazotsihitafototra, 34.6 km 314° NW Ambaravaranala",19,4,Mahajanga,-18.26,45.41833,1100
"Region Sofia, Bemanevika",19,3,Mahajanga,-14.33886,48.58729,1567
"40 km S Ambalavao, Rés. Andringitra",19,2,Fianarantsoa,-22.21667,46.96667,1275
"Forêt d'Ampondrabe, 26.3km 10° NNE Daraina",18,11,Antsiranana,-12.97,49.7,175
"Forêt de Vevembe, 66.6 km 293° Farafangana",18,10,Fianarantsoa,-22.791,47.18183,600
"Parc National de Zahamena, Tetezambatana forest, near junction of Nosivola and Manakambahiny Rivers",18,6,Toamasina,-17.74298,48.72936,
Réserve Speciale Manombo 24.5 km 228° Farafangana,18,6,Fianarantsoa,-23.01583,47.719,30
Torotorofotsy,18,5,Toamasina,-18.87082,48.34737,1070
"Parc National Montagne d'Ambre, 12.2 km 211° SSW Joffreville",18,4,Antsiranana,-12.59639,49.1595,1300
"Parc National de Namoroka, 17.8 km 329° WNW Vilanandro",17,10,Mahajanga,-16.37667,45.32667,100
F.C. Sandranantitra,17,7,Toamasina,-18.04833,49.09167,450
"Parc National Mananara-Nord, 7.1 km 261° Antanambe",17,7,Toamasina,-16.455,49.7875,225
"Parc National de Namoroka, 16.9 km 317° NW Vilanandro",17,7,Mahajanga,-16.40667,45.31,100
"Parc National d'Ankarafantsika, Ampijoroa Station Forestière, 5.4 km 331° NW Andranofasika",17,3,Mahajanga,-16.29889,46.813,70
"Tsinjoarivo forest, Ankadivory",17,1,Antananarivo,-19.71572,47.82084,1385
"Ile Sainte Marie, Forêt Ambohidena, 22.8 km 44° Ambodifotatra",16,8,Toamasina,-16.82433,49.96417,20
[Mangoro ufer]; Ambohibary; Moramanga,16,7,Toamasina,-18.8833,48.1167,861
[Moramanga],16,6,Toamasina,-18.9489,48.22443,914
"6.3 km S Ambanizana, Andranobe",16,5,Toamasina,-15.6813,49.958,25
"Corridor Forestier Analamay-Mantadia, Tsaravoniana",16,4,Toamasina,-18.76124,48.42134,1018
"Montagne des Français, 7.2 km 142° SE Antsiranana (=Diego Suarez)",15,8,Antsiranana,-12.32278,49.33817,180
"Sahamalaza Peninsula, Forêt d'Anabohazo, 21.6 km 247° WSW Maromandia",15,8,Antsiranana,-14.30889,47.91433,120
"Réserve Spéciale de Bemarivo, 23.8 km 223° SW Besalampy",15,7,Mahajanga,-16.925,44.36833,30
